sentence,metaphorical_subsets,model_output
I've invested a lot of time in her.,['invested'],"- I: NO (pronoun, basic meaning is the same)
- 've (have): NO (contraction of ""have,"" basic meaning is the same)
- invested: YES (verb, more basic meaning refers to putting money into financial schemes or assets)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)"
I don't have enough time to spare for that.,"['have enough', 'spare']","""I don't have enough time to spare for that.""

- I: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of ""do not,"" basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- enough: NO (adjective, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- spare: YES (verb, more basic meaning refers to giving something that is extra or not needed)
- for: NO (preposition, basic meaning is the same)
- that: NO (pronoun, basic meaning is the same)"
You're running out of time.,['running out'],"- You: NO (pronoun, basic meaning is the same)
- 're (are): NO (verb, basic meaning is the same)
- running: YES (verb, more basic meaning refers to the physical act of moving quickly on foot)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- time: NO (noun, basic meaning is the same)"
You need to budget your time.,['budget'],"- You: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- budget: YES (verb, more basic meaning refers to planning the allocation of money)
- your: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the same)"
Put aside some time for ping pong.,['Put aside'],"- Put: NO (verb, basic meaning is the same)
- aside: NO (adverb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- for: NO (preposition, basic meaning is the same)
- ping: NO (noun, basic meaning is the same)
- pong: NO (noun, basic meaning is the same)"
Is that worth your while?,['worth your while'],"- Is: NO (verb, basic meaning is the same)
- that: NO (pronoun, basic meaning is the same)
- worth: YES (adjective, more basic meaning refers to having a monetary value)
- your: NO (possessive pronoun, basic meaning is the same)
- while: YES (noun, more basic meaning refers to a period of time)"
Do you have much time left?,"['have', 'left']","- Do: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- much: NO (adjective, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- left: YES (adjective, more basic meaning refers to the direction or side)"
He's living on borrowed time.,['borrowed'],"""He’s living on borrowed time.""
- He’s: NO (contraction of ""he is,"" basic meaning is the same)
- living: YES (verb, more basic meaning refers to being alive or residing somewhere)
- on: NO (preposition, basic meaning is the same)
- borrowed: YES (verb, more basic meaning refers to taking something temporarily with the intention of returning it)
- time: YES (noun, more basic meaning refers to the measurable period during which an action, process, or condition exists or continues)"
You don't use your time profitably.,"['use', 'profitably']","- You: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of ""do not,"" basic meaning is the same)
- use: YES (verb, more basic meaning refers to employing or utilizing a physical object)
- your: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- profitably: YES (adverb, more basic meaning refers to making a financial gain)"
I lost a lot of time when I got sick.,['lost'],"""I lost a lot of time when I got sick.""
- I: NO (pronoun, basic meaning is the same)
- lost: YES (verb, more basic meaning refers to misplacing or being unable to find something)
- a: NO (article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a large number or amount of something tangible)
- of: NO (preposition, basic meaning is the same)
- time: YES (noun, more basic meaning refers to the measurable period during which an action, process, or condition exists or continues)
- when: NO (conjunction, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- got: YES (verb, more basic meaning refers to obtaining or receiving something)
- sick: NO (adjective, basic meaning is the same)"
It's hard to get that idea across to him.,"['get', 'across to']","- It's: NO (contraction of ""it is,"" basic meaning is the same)
- hard: YES (adjective, more basic meaning refers to a physical property of being solid or firm)
- to: NO (preposition, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving something)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- across: YES (preposition, more basic meaning refers to moving from one side to another)
- to: NO (preposition, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)"
I gave you that idea.,['gave'],"- I: NO (pronoun, basic meaning is the same)
- gave: YES (verb, more basic meaning refers to physically handing something over)
- you: NO (pronoun, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: YES (noun, more basic meaning refers to a mental concept or thought)"
Your reasons came through to us.,['came through'],"- Your: NO (possessive pronoun, basic meaning is the same)
- reasons: YES (noun, more basic meaning refers to causes or explanations for actions or events)
- came: NO (verb, basic meaning is the same)
- through: NO (preposition/adverb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- us: NO (pronoun, basic meaning is the same)"
It's difficult to put my ideas into words.,"['put', 'into']","Sure, let's analyze the text ""It's difficult to put my ideas into words.""

- It’s: NO (contraction of ""it is,"" basic meaning is the same)
- difficult: NO (adjective, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- put: YES (verb, more basic meaning refers to placing something physically)
- my: NO (possessive pronoun, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- words: NO (noun, basic meaning is the same)"
"When you have a good idea, try to capture it immediately in words.","['have', 'capture', 'in']","""When you have a good idea, try to capture it immediately in words.""

- When: NO (conjunction, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- try: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- capture: YES (verb, more basic meaning refers to physically seizing or taking something)
- it: NO (pronoun, basic meaning is the same)
- immediately: NO (adverb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- words: NO (noun, basic meaning is the same)"
Try to pack more thought into the wrong words.,"['pack', 'into']","""Try to pack more thought into the wrong words.""

- Try: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- pack: YES (verb, more basic meaning refers to putting items into a container)
- more: NO (adjective, basic meaning is the same)
- thought: YES (noun, more basic meaning refers to the act of thinking)
- into: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- wrong: YES (adjective, more basic meaning refers to something incorrect or not right)
- words: NO (noun, basic meaning is the same)"
His words carry little meaning.,['carry'],"- His: NO (possessive pronoun, basic meaning is the same)
- words: NO (noun, basic meaning is the same)
- carry: YES (verb, more basic meaning refers to physically transporting something)
- little: NO (adjective, basic meaning is the same)
- meaning: NO (noun, basic meaning is the same)"
The introduction has a great deal of thought content.,"['has', 'content']","""The introduction has a great deal of thought content.""

- The: NO (definite article, basic meaning is the same)
- introduction: YES (noun, more basic meaning refers to the act of introducing something or someone)
- has: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- great: YES (adjective, more basic meaning refers to size or extent)
- deal: YES (noun, more basic meaning refers to an agreement or transaction)
- of: NO (preposition, basic meaning is the same)
- thought: YES (noun, more basic meaning refers to the act of thinking)
- content: YES (noun, more basic meaning refers to the substance or material contained within something)"
Your words seem hollow.,['hollow'],"- Your: NO (possessive pronoun, basic meaning is the same)
- words: NO (noun, basic meaning is the same)
- seem: NO (verb, basic meaning is the same)
- hollow: YES (adjective, more basic meaning refers to something that is empty inside, like a hollow tree or object)"
The sentence is without meaning.,['without'],"""The sentence is without meaning.""

- The: NO (definite article, basic meaning is the same)
- sentence: YES (noun, more basic meaning refers to a set of words that is complete in itself, typically containing a subject and predicate)
- is: NO (verb, basic meaning is the same)
- without: NO (preposition, basic meaning is the same)
- meaning: YES (noun, more basic meaning refers to what is meant by a word, text, concept, or action)"
The idea is buried in terribly dense paragraphs.,['buried in'],"""The idea is buried in terribly dense paragraphs.""

- The: NO (definite article, basic meaning is the same)
- idea: YES (noun, more basic meaning refers to a mental concept or thought)
- is: NO (verb, basic meaning is the same)
- buried: YES (verb, more basic meaning refers to placing something in the ground)
- in: NO (preposition, basic meaning is the same)
- terribly: YES (adverb, more basic meaning refers to something causing terror or being very bad)
- dense: YES (adjective, more basic meaning refers to something closely compacted or thick)
- paragraphs: NO (noun, basic meaning is the same)"
I'm feeling up.,['up'],"- I: NO (pronoun, basic meaning is the same)
- 'm: NO (contraction of ""am"", basic meaning is the same)
- feeling: YES (verb, more basic meaning refers to the physical sensation of touch)
- up: YES (adverb, more basic meaning refers to a direction or position higher than something else)"
That boosted my spirits.,['boosted'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- boosted: YES (verb, more basic meaning refers to physically lifting or increasing something)
- my: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to supernatural beings or alcohol)"
My spirits rose.,['rose'],"- My: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to supernatural beings or distilled alcoholic beverages)
- rose: YES (verb, more basic meaning refers to moving upward physically)"
You're in high spirits.,['high'],"- You: NO (pronoun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to physical height)
- spirits: YES (noun, more basic meaning refers to supernatural beings or distilled alcoholic beverages)"
Thinking about her always gives me a lift.,['lift'],"- Thinking: YES (verb, more basic meaning refers to the mental process of considering or reasoning about something)
- about: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)
- always: NO (adverb, basic meaning is the same)
- gives: YES (verb, more basic meaning refers to the physical act of handing something to someone)
- me: NO (pronoun, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lift: YES (noun, more basic meaning refers to a physical act of raising something or someone)"
I'm feeling down.,['down'],"- I: NO (pronoun, basic meaning is the same)
- 'm (am): NO (verb, basic meaning is the same)
- feeling: YES (verb, more basic meaning refers to the physical sensation of touch)
- down: YES (adjective, more basic meaning refers to a direction or position lower than something else)"
I'm depressed.,['depressed'],"- I: NO (pronoun, basic meaning is the same)
- 'm: NO (contraction of ""am"", basic meaning is the same)
- depressed: YES (adjective, more basic meaning refers to a physical state of being pressed down or a lower position)"
He's really low these days.,['low'],"- He’s: NO (contraction of ""he is,"" basic meaning is the same)
- really: NO (adverb, basic meaning is the same)
- low: YES (adjective, more basic meaning refers to a physical position or level)
- these: NO (demonstrative pronoun, basic meaning is the same)
- days: NO (noun, basic meaning is the same)"
I fell into a depression.,['fell'],"- I: NO (pronoun, basic meaning is the same)
- fell: NO (verb, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- depression: YES (noun, more basic meaning refers to a physical low area in a surface)"
My spirits sank.,['sank'],"- My: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to supernatural beings or distilled alcoholic beverages)
- sank: YES (verb, more basic meaning refers to descending or going down in water)"
Wake up.,['up'],"Sure, let's analyze the text ""Wake up.""

- Wake: YES (verb, more basic meaning refers to emerging from sleep)
- up: NO (adverb, basic meaning is the same)

So, in this context, ""wake"" has a more basic contemporary meaning related to emerging from sleep, while ""up"" retains its basic meaning."
He fell asleep.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to moving downward due to gravity)
- asleep: NO (adjective, basic meaning is the same)"
He dropped off to sleep.,['dropped'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to letting something fall)
- off: NO (preposition, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- sleep: NO (noun, basic meaning is the same)"
He's under hypnosis.,['under'],"- He’s: NO (contraction of ""he is,"" basic meaning is the same)
- under: NO (preposition, basic meaning is the same)
- hypnosis: YES (noun, more basic meaning refers to a state of consciousness induced by a procedure, as opposed to its use in psychological or therapeutic contexts)"
He sank into a coma.,['sank'],"- He: NO (pronoun, basic meaning is the same)
- sank: YES (verb, more basic meaning refers to descending or going down in water or another substance)
- into: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- coma: NO (noun, basic meaning is the same)"
He's at the peak of health.,['peak'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- peak: YES (noun, more basic meaning refers to the pointed top of a mountain)
- of: NO (preposition, basic meaning is the same)
- health: NO (noun, basic meaning is the same)"
Lazarus rose from the dead.,['rose'],"""Lazarus rose from the dead.""
- Lazarus: NO (proper noun, basic meaning is the same)
- rose: YES (verb, more basic meaning refers to moving upward or getting up from a lower position)
- from: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- dead: NO (adjective, basic meaning is the same)"
He's in top shape.,['top'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- top: YES (adjective, more basic meaning refers to the highest point or part of something)
- shape: YES (noun, more basic meaning refers to the physical form or outline of an object)"
"As to his health, he's way up there.",['up'],"- As: NO (preposition, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- health: NO (noun, basic meaning is the same)
- he's: NO (contraction of ""he is,"" basic meaning is the same)
- way: YES (adverb, more basic meaning refers to a path or route)
- up: NO (adverb, basic meaning is the same)
- there: NO (adverb, basic meaning is the same)"
He fell ill.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to moving downward due to gravity)
- ill: YES (adjective, more basic meaning refers to being sick or unwell)"
He came down with the flu.,['down'],"- He: NO (pronoun, basic meaning is the same)
- came: NO (verb, basic meaning is the same)
- down: YES (adverb, more basic meaning refers to a direction towards a lower place)
- with: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- flu: NO (noun, basic meaning is the same)"
His health is declining.,['declining'],"- His: NO (possessive pronoun, basic meaning is the same)
- health: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- declining: YES (verb, more basic meaning refers to a physical downward movement or refusal)"
He dropped dead.,['dropped'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to letting something fall)
- dead: NO (adjective, basic meaning is the same)"
I have control over her.,['over'],"- I: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- control: YES (noun, more basic meaning refers to the power to influence or direct people's behavior or the course of events, but in a more concrete sense, it can refer to physical restraint or manipulation)
- over: NO (preposition, basic meaning is the same)
- her: NO (possessive pronoun, basic meaning is the same)"
I am on top of the situation.,['on top'],"- I: NO (pronoun, basic meaning is the same)
- am: NO (verb, basic meaning is the same)
- on: YES (preposition, more basic meaning refers to physical position or contact)
- top: YES (noun, more basic meaning refers to the highest point or surface of something)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- situation: YES (noun, more basic meaning refers to a set of circumstances or a state of affairs)"
He's in a superior position.,['superior'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- superior: YES (adjective, more basic meaning refers to being higher in rank or quality)
- position: YES (noun, more basic meaning refers to a physical location or place)"
He's at the height of his power.,['height'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- height: YES (noun, more basic meaning refers to the measurement of how tall something is)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- power: YES (noun, more basic meaning refers to physical strength or the ability to do something)"
He's in the high command.,['high'],"- He’s: NO (contraction of ""he is,"" basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to physical height)
- command: YES (noun, more basic meaning refers to an authoritative order or directive)"
He's in the upper echelon.,['upper'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- upper: NO (adjective, basic meaning is the same)
- echelon: YES (noun, more basic meaning refers to a level or rank in an organization, often used in a military context)"
His power rose.,['rose'],"- His: NO (possessive pronoun, basic meaning is the same)
- power: YES (noun, more basic meaning refers to physical strength or energy)
- rose: YES (verb, more basic meaning refers to moving upward physically)"
He ranks above me in strength.,['above'],"- He: NO (pronoun, basic meaning is the same)
- ranks: YES (verb, more basic meaning refers to arranging in a line or order)
- above: NO (preposition, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- strength: NO (noun, basic meaning is the same)"
He is under my control.,['under'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- under: YES (preposition, more basic meaning refers to a physical position beneath something)
- my: NO (possessive pronoun, basic meaning is the same)
- control: YES (noun, more basic meaning refers to the act of directing or regulating something physically)"
He fell from power.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping or descending)
- from: NO (preposition, basic meaning is the same)
- power: YES (noun, more basic meaning refers to physical strength or energy)"
His power is on the decline.,['decline'],"- His: NO (possessive pronoun, basic meaning is the same)
- power: YES (noun, more basic meaning refers to physical strength or the ability to do something)
- is: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- decline: YES (noun, more basic meaning refers to a physical downward slope or decrease)"
He is my social inferior.,['inferior'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- social: YES (adjective, more basic meaning relates to society or community interactions)
- inferior: YES (noun, more basic meaning refers to someone of lower rank or quality)"
The number of books printed each year keeps going up.,['up'],"""The number of books printed each year keeps going up.""
- The: NO (definite article, basic meaning is the same)
- number: YES (noun, more basic meaning refers to a numeral or digit)
- of: NO (preposition, basic meaning is the same)
- books: NO (noun, basic meaning is the same)
- printed: NO (verb, basic meaning is the same)
- each: NO (adjective, basic meaning is the same)
- year: NO (noun, basic meaning is the same)
- keeps: YES (verb, more basic meaning refers to holding or retaining something)
- going: YES (verb, more basic meaning refers to moving or traveling)
- up: YES (adverb, more basic meaning refers to a direction)"
His draft number is high.,['high'],"- His: NO (possessive pronoun, basic meaning is the same)
- draft: YES (noun, more basic meaning refers to a preliminary version of a written work or a current of air)
- number: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- high: NO (adjective, basic meaning is the same)"
My income rose last year.,['rose'],"- My: NO (possessive pronoun, basic meaning is the same)
- income: NO (noun, basic meaning is the same)
- rose: YES (verb, more basic meaning refers to the physical action of moving upward)
- last: NO (adjective, basic meaning is the same)
- year: NO (noun, basic meaning is the same)"
The amount of artistic activity in this state has gone down in the past year.,['down'],"""The amount of artistic activity in this state has gone down in the past year.""

- The: NO (definite article, basic meaning is the same)
- amount: YES (noun, more basic meaning refers to a quantity of something measurable)
- of: NO (preposition, basic meaning is the same)
- artistic: NO (adjective, basic meaning is the same)
- activity: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- this: NO (demonstrative pronoun, basic meaning is the same)
- state: YES (noun, more basic meaning refers to a condition or a political entity)
- has: NO (verb, basic meaning is the same)
- gone: YES (verb, more basic meaning refers to moving from one place to another)
- down: YES (adverb, more basic meaning refers to a direction towards a lower place)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- past: YES (adjective, more basic meaning refers to a time that has already happened)
- year: NO (noun, basic meaning is the same)"
The number of errors he made is incredibly low.,['low'],"Sure, let's analyze the text:

""The number of errors he made is incredibly low.""

- The: NO (definite article, basic meaning is the same)
- number: YES (noun, more basic meaning refers to a numeral or a countable quantity)
- of: NO (preposition, basic meaning is the same)
- errors: NO (noun, basic meaning is the same)
- he: NO (pronoun, basic meaning is the same)
- made: NO (verb, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- incredibly: YES (adverb, more basic meaning refers to something that is hard to believe)
- low: NO (adjective, basic meaning is the same)

So, the words with a more basic contemporary meaning in other contexts are ""number"" and ""incredibly."""
His income fell last year.,['fell'],"- His: NO (possessive pronoun, basic meaning is the same)
- income: YES (noun, more basic meaning refers to money received, which is more concrete)
- fell: YES (verb, more basic meaning refers to moving downward due to gravity, which is more concrete and related to bodily action)
- last: NO (adjective, basic meaning is the same)
- year: NO (noun, basic meaning is the same)"
He is underage.,['under'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- underage: YES (adjective, more basic meaning refers to being below the legal age for certain activities)"
"If you're too hot, turn the heat down.",['down'],"""If you're too hot, turn the heat down.""

- If: NO (conjunction, basic meaning is the same)
- you're: NO (contraction of ""you are,"" basic meaning is the same)
- too: NO (adverb, basic meaning is the same)
- hot: NO (adjective, basic meaning is the same)
- turn: YES (verb, more basic meaning refers to rotating or moving something around an axis)
- the: NO (definite article, basic meaning is the same)
- heat: YES (noun, more basic meaning refers to the quality of being hot or high temperature)
- down: YES (adverb, more basic meaning refers to a lower position or movement to a lower place)"
All upcoming events are listed in the paper.,['up'],"- All: NO (determiner, basic meaning is the same)
- upcoming: YES (adjective, more basic meaning refers to something that is approaching in time)
- events: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- listed: YES (verb, more basic meaning refers to writing or including in a list)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- paper: YES (noun, more basic meaning refers to the material made from wood pulp)"
What's coming up this week?,['up'],"- What’s: NO (contraction of ""what is,"" basic meaning is the same)
- coming: YES (verb, more basic meaning refers to physically moving towards a place)
- up: YES (preposition/adverb, more basic meaning refers to direction towards a higher position)
- this: NO (determiner, basic meaning is the same)
- week: NO (noun, basic meaning is the same)"
What's up?,['up'],"- What’s: NO (contraction of ""what is,"" basic meaning is the same)
- up: YES (preposition/adverb, more basic meaning refers to direction or position above)"
He has a lofty position.,['lofty'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lofty: YES (adjective, more basic meaning refers to something physically high or elevated)
- position: YES (noun, more basic meaning refers to a physical location or place)"
She'll rise to the top.,"['rise', 'top']","- She'll: NO (contraction of ""she will,"" basic meaning is the same)
- rise: YES (verb, more basic meaning refers to moving upward physically)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- top: YES (noun, more basic meaning refers to the highest point or part of something physically)"
He's at the peak of his career.,['peak'],"- He’s: NO (contraction of ""he is"", basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- peak: YES (noun, more basic meaning refers to the pointed top of a mountain)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- career: YES (noun, more basic meaning refers to a person's course or progress through life or a distinct portion of life)"
He has a little upward mobility.,['upward'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- little: NO (adjective, basic meaning is the same)
- upward: YES (adjective, more basic meaning refers to a direction towards a higher place)
- mobility: YES (noun, more basic meaning refers to the ability to move physically)"
