metaphor_category,sentence,metaphorical_subsets,model_output,L&J Metaphor(s) – Identified,L&J Metaphor(s) – Correct Basic Meanings,Additional Annotations,Additional Annotations – Metaphorical,Additional Annotations – Correct Basic Meanings
love-is-a-physical-force,They gravitated to each other immediately.,['gravitated'],"""They gravitated to each other immediately.""

- They: NO (pronoun, basic meaning is the same)
- gravitated: YES (verb, more basic meaning refers to the physical force of gravity causing objects to move towards each other)
- to: NO (preposition, basic meaning is the same)
- each: NO (pronoun, basic meaning is the same)
- other: NO (pronoun, basic meaning is the same)
- immediately: NO (adverb, basic meaning is the same)",1,1,0,,
activities-are-containers,I put a lot of energy into washing the windows.,['put a lot of energy into'],"""I put a lot of energy into washing the windows.""

- I: NO (pronoun, basic meaning is the same)
- put: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a piece of land or a large number of items)
- of: NO (preposition, basic meaning is the same)
- energy: YES (noun, more basic meaning refers to the physical property transferred to perform work)
- into: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
"an-argument-is-a-journey, understanding-is-seeing",Notice that X does not follow from Y without added assumptions.,['Notice'],"Sure, let's analyze the text:

""Notice that X does not follow from Y without added assumptions.""

- Notice: YES (verb, more basic meaning refers to perceiving something with the senses, especially sight)
- that: NO (conjunction, basic meaning is the same)
- X: NO (variable, basic meaning is the same)
- does: NO (verb, basic meaning is the same)
- not: NO (adverb, basic meaning is the same)
- follow: YES (verb, more basic meaning refers to moving or traveling behind someone or something)
- from: NO (preposition, basic meaning is the same)
- Y: NO (variable, basic meaning is the same)
- without: NO (preposition, basic meaning is the same)
- added: YES (adjective, more basic meaning refers to something that has been put together with something else)
- assumptions: YES (noun, more basic meaning refers to something taken for granted or accepted as true without proof)

So, the words with a more basic contemporary meaning in other contexts are:
- Notice
- follow
- added
- assumptions",1,1,1,0.0,1.0
inflation-is-an-entity,Buying land is the best way of dealing with inflation.,['dealing with inflation'],"- Buying: NO (verb, basic meaning is the same)
- land: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- best: NO (adjective, basic meaning is the same)
- way: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- dealing: YES (verb, more basic meaning refers to distributing cards in a game)
- with: NO (preposition, basic meaning is the same)
- inflation: NO (noun, basic meaning is the same)",1,0,0,,
conscious-is-up;-unconscious-is-down,He dropped off to sleep.,['dropped'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to letting something fall)
- off: NO (preposition, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- sleep: NO (noun, basic meaning is the same)",1,1,0,,
race-as-object,Are you going to the race?,['going to'],"- Are: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- going: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- race: YES (noun, more basic meaning refers to a competition of speed)",1,1,0,,
an-argument-is-a-building,"With the groundwork you've got, you can construct a pretty strong argument.","['groundwork', 'construct', 'strong']","""With the groundwork you've got, you can construct a pretty strong argument.""

- With: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- groundwork: YES (noun, more basic meaning refers to the physical preparation of a site for construction)
- you've: NO (contraction of ""you have,"" basic meaning is the same)
- got: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- can: NO (modal verb, basic meaning is the same)
- construct: YES (verb, more basic meaning refers to building something physical)
- a: NO (indefinite article, basic meaning is the same)
- pretty: YES (adverb, more basic meaning refers to attractiveness)
- strong: NO (adjective, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
the-place-for-the-event,Let's not let Thailand become another Vietnam.,['Vietnam'],"""Let's not let Thailand become another Vietnam.""

- Let's: NO (contraction of ""let us,"" basic meaning is the same)
- not: NO (adverb, basic meaning is the same)
- let: NO (verb, basic meaning is the same)
- Thailand: NO (proper noun, basic meaning is the same)
- become: NO (verb, basic meaning is the same)
- another: NO (adjective, basic meaning is the same)
- Vietnam: YES (proper noun, more basic meaning refers to the country, whereas in this context it refers to a situation similar to the Vietnam War)",1,1,0,,
understanding-is-seeing,Now I've got the whole picture.,['whole picture'],"""Now I've got the whole picture.""
- Now: NO (adverb, basic meaning is the same)
- I've: NO (contraction of ""I have,"" basic meaning is the same)
- got: YES (verb, more basic meaning refers to obtaining or receiving something)
- the: NO (definite article, basic meaning is the same)
- whole: NO (adjective, basic meaning is the same)
- picture: YES (noun, more basic meaning refers to an image or photograph)",1,1,1,1.0,1.0
more-is-up;-less-is-down,He is underage.,['under'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- underage: YES (adjective, more basic meaning refers to being below the legal age for certain activities)",1,0,0,,
high-status-is-up;-low-status-is-down,He's at the bottom of the social hierarchy.,['bottom'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- bottom: YES (noun, more basic meaning refers to the lowest part of something physical, like the bottom of a container)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- social: YES (adjective, more basic meaning refers to interactions between people)
- hierarchy: YES (noun, more basic meaning refers to a system of organization with levels, often used in a more concrete sense like in a company or organization)",1,1,1,0.0,1.0
ideas-are-plants,She has a fertile imagination.,['fertile'],"- She: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- fertile: YES (adjective, more basic meaning refers to the ability to produce abundant vegetation or crops)
- imagination: NO (noun, basic meaning is the same)",1,1,0,,
birth metaphors,He hatched a clever scheme.,['hatched'],"- He: NO (pronoun, basic meaning is the same)
- hatched: YES (verb, more basic meaning refers to an egg breaking open and a young animal coming out)
- a: NO (article, basic meaning is the same)
- clever: NO (adjective, basic meaning is the same)
- scheme: YES (noun, more basic meaning refers to a plan or arrangement, often with a negative connotation)",1,1,1,0.0,1.0
life-is-a-container,I've had a full life.,['full'],"- I: NO (pronoun, basic meaning is the same)
- 've (have): NO (contraction of ""have,"" basic meaning is the same)
- had: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- full: YES (adjective, more basic meaning refers to being filled to capacity)
- life: NO (noun, basic meaning is the same)",1,1,0,,
activities-are-containers,I get a lot of satisfaction out of washing windows.,['get a lot of satisfaction out of'],"""I get a lot of satisfaction out of washing windows.""

- I: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving something tangible)
- a: NO (article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a large number or amount of something tangible)
- of: NO (preposition, basic meaning is the same)
- satisfaction: YES (noun, more basic meaning refers to the fulfillment of a need or desire, which can be more abstract)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
physical-and-emotional-states-are-entities-within-a-person,My cold has gone from my head to my chest.,['gone from my head to my chest'],"- My: NO (possessive pronoun, basic meaning is the same)
- cold: YES (noun, more basic meaning refers to low temperature)
- has: NO (verb, basic meaning is the same)
- gone: NO (verb, basic meaning is the same)
- from: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- head: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- chest: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
ideas-are-cutting-instruments,She cut his argument to ribbons.,"['cut', 'to ribbons']","- She: NO (pronoun, basic meaning is the same)
- cut: YES (verb, more basic meaning refers to using a sharp tool to divide something)
- his: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- ribbons: YES (noun, more basic meaning refers to a long, narrow strip of fabric)",1,1,0,,
controller-for-controlled,Nixon bombed Hanoi.,['Nixon'],"- Nixon: NO (proper noun, basic meaning is the same)
- bombed: YES (verb, more basic meaning refers to dropping bombs on a target)
- Hanoi: NO (proper noun, basic meaning is the same)",0,0,1,0.0,1.0
argument-is-war,His criticisms were right on target.,['right on target'],"- His: NO (possessive pronoun, basic meaning is the same)
- criticisms: NO (noun, basic meaning is the same)
- were: NO (verb, basic meaning is the same)
- right: YES (adjective, more basic meaning refers to direction or correctness)
- on: NO (preposition, basic meaning is the same)
- target: YES (noun, more basic meaning refers to an object aimed at in shooting or archery)",1,0,0,,
happy-is-up;-sad-is-down,I fell into a depression.,['fell'],"- I: NO (pronoun, basic meaning is the same)
- fell: NO (verb, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- depression: YES (noun, more basic meaning refers to a physical low area in a surface)",0,0,1,1.0,1.0
ideas-are-fashions,What are the new trends in English criticism?,['trends'],"""What are the new trends in English criticism?""

- What: NO (pronoun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- trends: YES (noun, more basic meaning refers to general directions in which something is developing or changing, often in fashion or behavior)
- in: NO (preposition, basic meaning is the same)
- English: NO (adjective, basic meaning is the same)
- criticism: YES (noun, more basic meaning refers to the act of expressing disapproval and noting the problems or faults of a person or thing)",1,1,1,1.0,1.0
life-is-a-gambling-game,That's the luck of the draw.,['the luck of the draw'],"""That's the luck of the draw.""
- That’s: NO (contraction of ""that is,"" basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- luck: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- draw: YES (noun, more basic meaning refers to pulling something out, such as drawing a card from a deck)",1,1,0,,
seeing-is-touching;-eyes-are-limbs,I can't take my eyes off her.,"['take', 'off']","""I can't take my eyes off her.""

- I: NO (pronoun, basic meaning is the same)
- can't: NO (contraction of ""cannot,"" basic meaning is the same)
- take: YES (verb, more basic meaning refers to physically grasping or holding something)
- my: NO (possessive pronoun, basic meaning is the same)
- eyes: NO (noun, basic meaning is the same)
- off: YES (preposition, more basic meaning refers to physical separation or removal)
- her: NO (pronoun, basic meaning is the same)",1,1,0,,
object-used-for-user,The buses are on strike.,['buses'],"- The: NO (definite article, basic meaning is the same)
- buses: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- strike: YES (noun, more basic meaning refers to hitting something)",0,0,1,1.0,1.0
states-as-containers,We're out of trouble now.,['out of'],"""We're out of trouble now.""

- We: NO (pronoun, basic meaning is the same)
- 're (are): NO (verb, basic meaning is the same)
- out: YES (preposition, more basic meaning refers to being outside or away from a place)
- of: NO (preposition, basic meaning is the same)
- trouble: NO (noun, basic meaning is the same)
- now: NO (adverb, basic meaning is the same)",1,1,0,,
physical-and-emotional-states-are-entities-within-a-person,His pains went away.,['went away'],"- His: NO (possessive pronoun, basic meaning is the same)
- pains: YES (noun, more basic meaning refers to physical discomfort)
- went: NO (verb, basic meaning is the same)
- away: NO (adverb, basic meaning is the same)",0,0,1,0.0,1.0
significant-is-big,That was only a little white lie.,['little'],"- That: NO (pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- only: NO (adverb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- little: NO (adjective, basic meaning is the same)
- white: NO (adjective, basic meaning is the same)
- lie: YES (noun, more basic meaning refers to a false statement)",0,0,1,0.0,1.0
wealth-is-a-hidden-object,He's searching for wealth.,['searching for'],"- He’s: NO (contraction of ""he is,"" basic meaning is the same)
- searching: YES (verb, more basic meaning refers to physically looking for something)
- for: NO (preposition, basic meaning is the same)
- wealth: YES (noun, more basic meaning refers to an abundance of valuable possessions or money)",1,1,1,0.0,1.0
ideas-are-people,The theory of relativity gave birth to an enormous number of ideas in physics.,['gave birth to'],"""The theory of relativity gave birth to an enormous number of ideas in physics.""

- The: NO (definite article, basic meaning is the same)
- theory: YES (noun, more basic meaning refers to a supposition or a system of ideas intended to explain something)
- of: NO (preposition, basic meaning is the same)
- relativity: NO (noun, basic meaning is the same)
- gave: YES (verb, more basic meaning refers to the act of transferring possession of something to someone)
- birth: YES (noun, more basic meaning refers to the process of being born)
- to: NO (preposition, basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- enormous: NO (adjective, basic meaning is the same)
- number: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- physics: NO (noun, basic meaning is the same)",1,1,1,0.0,1.0
controller-for-controlled,Ozawa gave a terrible concert last night.,['Ozawa'],"- Ozawa: NO (proper noun, basic meaning is the same)
- gave: YES (verb, more basic meaning refers to physically handing something over)
- a: NO (article, basic meaning is the same)
- terrible: NO (adjective, basic meaning is the same)
- concert: NO (noun, basic meaning is the same)
- last: NO (adjective, basic meaning is the same)
- night: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
ideas-are-people,Whose brainchild was that?,['brainchild'],"- Whose: NO (possessive pronoun, basic meaning is the same)
- brainchild: YES (noun, more basic meaning would refer to a literal child, whereas here it refers to an idea or invention)
- was: NO (verb, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)",1,1,0,,
ideas-are-cutting-instruments,That was a cutting remark.,['cutting'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- cutting: YES (adjective, more basic meaning refers to the action of cutting with a sharp object)
- remark: NO (noun, basic meaning is the same)",1,1,0,,
activities-are-containers,How did Jerry get out of washing the windows?,['get out of'],"- How: NO (adverb, basic meaning is the same)
- did: NO (auxiliary verb, basic meaning is the same)
- Jerry: NO (proper noun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving something)
- out: YES (preposition, more basic meaning refers to moving from inside to outside)
- of: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning something with water and soap)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)",1,1,1,0.0,1.0
physical-and-emotional-states-are-entities-within-a-person,Hot tea and honey will get rid of your cough.,['get rid of'],"""Hot tea and honey will get rid of your cough.""

- Hot: NO (adjective, basic meaning is the same)
- tea: NO (noun, basic meaning is the same)
- and: NO (conjunction, basic meaning is the same)
- honey: NO (noun, basic meaning is the same)
- will: NO (auxiliary verb, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving something)
- rid: YES (verb, more basic meaning refers to freeing or removing something)
- of: NO (preposition, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- cough: NO (noun, basic meaning is the same)",1,1,0,,
physical-and-emotional-states-are-entities-within-a-person,He could barely contain his joy.,['contain'],"- He: NO (pronoun, basic meaning is the same)
- could: NO (modal verb, basic meaning is the same)
- barely: NO (adverb, basic meaning is the same)
- contain: YES (verb, more basic meaning refers to holding something physically within limits)
- his: NO (possessive pronoun, basic meaning is the same)
- joy: NO (noun, basic meaning is the same)",1,1,0,,
theories-(and-arguments)-are-buildings,Here are some more facts to shore up the theory.,['shore up'],"""Here are some more facts to shore up the theory.""

- Here: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- more: NO (adjective, basic meaning is the same)
- facts: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- shore: YES (verb, more basic meaning refers to supporting or reinforcing a physical structure, like a shore or a wall)
- up: NO (adverb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)",1,1,0,,
an-argument-is-a-journey,"When we get to the next point, we shall see that philosophy is dead.",['When we get to the next point'],"""When we get to the next point, we shall see that philosophy is dead.""

- When: NO (conjunction, basic meaning is the same)
- we: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving something)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- next: NO (adjective, basic meaning is the same)
- point: YES (noun, more basic meaning refers to a sharp end or a specific location)
- we: NO (pronoun, basic meaning is the same)
- shall: NO (modal verb, basic meaning is the same)
- see: YES (verb, more basic meaning refers to perceiving with the eyes)
- that: NO (conjunction, basic meaning is the same)
- philosophy: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- dead: YES (adjective, more basic meaning refers to no longer being alive)",1,1,1,1.0,1.0
ideas-are-food,He devoured the book.,['devoured'],"- He: NO (pronoun, basic meaning is the same)
- devoured: YES (verb, more basic meaning refers to eating food hungrily or quickly)
- the: NO (definite article, basic meaning is the same)
- book: NO (noun, basic meaning is the same)",1,1,0,,
high-status-is-up;-low-status-is-down,He's at the peak of his career.,['peak'],"- He’s: NO (contraction of ""he is"", basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- peak: YES (noun, more basic meaning refers to the pointed top of a mountain)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- career: YES (noun, more basic meaning refers to a person's course or progress through life or a distinct portion of life)",1,1,1,1.0,0.0
activities-are-containers,"In washing the window, I splashed water all over the floor.",['In'],"""In washing the window, I splashed water all over the floor.""

- In: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- window: NO (noun, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- splashed: NO (verb, basic meaning is the same)
- water: NO (noun, basic meaning is the same)
- all: NO (adverb, basic meaning is the same)
- over: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- floor: NO (noun, basic meaning is the same)",0,0,0,,
"an-argument-is-a-container, understanding-is-seeing","Since your argument isn't very clear, I can't see what you're getting at.","['clear', 'see']","""Since your argument isn't very clear, I can't see what you're getting at.""

- Since: NO (conjunction, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- isn't: NO (contraction of ""is not,"" basic meaning is the same)
- very: NO (adverb, basic meaning is the same)
- clear: YES (adjective, more basic meaning refers to something being transparent or easy to see through)
- I: NO (pronoun, basic meaning is the same)
- can't: NO (contraction of ""cannot,"" basic meaning is the same)
- see: YES (verb, more basic meaning refers to the physical act of perceiving with the eyes)
- what: NO (pronoun, basic meaning is the same)
- you're: NO (contraction of ""you are,"" basic meaning is the same)
- getting: YES (verb, more basic meaning refers to obtaining or receiving something)
- at: NO (preposition, basic meaning is the same)",1,1,1,1.0,1.0
emergence,He dropped from exhaustion.,['from'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to letting something fall)
- from: NO (preposition, basic meaning is the same)
- exhaustion: NO (noun, basic meaning is the same)",1,1,0,,
love-is-a-patient,It's a tired affair.,['tired'],"""It's a tired affair.""

- It’s: NO (contraction of ""it is,"" basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- tired: YES (adjective, more basic meaning refers to the physical state of needing rest)
- affair: YES (noun, more basic meaning refers to an event or a matter of personal or public interest)",1,1,1,1.0,1.0
theories-(and-arguments)-are-buildings,The theory will stand or fall on the strength of that argument.,"['stand', 'fall', 'strength']","""The theory will stand or fall on the strength of that argument.""

- The: NO (definite article, basic meaning is the same)
- theory: YES (noun, more basic meaning refers to a supposition or a system of ideas intended to explain something)
- will: NO (auxiliary verb, basic meaning is the same)
- stand: YES (verb, more basic meaning refers to being in an upright position on the feet)
- or: NO (conjunction, basic meaning is the same)
- fall: YES (verb, more basic meaning refers to moving downward, typically rapidly and freely without control)
- on: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- strength: YES (noun, more basic meaning refers to the quality or state of being physically strong)
- of: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)",1,1,1,0.0,1.0
having-control-or-force-is-up;-being-subject-to-control-or-force-is-down,He's at the height of his power.,['height'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- height: YES (noun, more basic meaning refers to the measurement of how tall something is)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- power: YES (noun, more basic meaning refers to physical strength or the ability to do something)",1,1,1,1.0,1.0
conduit,Try to pack more thought into the wrong words.,"['pack', 'into']","""Try to pack more thought into the wrong words.""

- Try: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- pack: YES (verb, more basic meaning refers to putting items into a container)
- more: NO (adjective, basic meaning is the same)
- thought: YES (noun, more basic meaning refers to the act of thinking)
- into: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- wrong: YES (adjective, more basic meaning refers to something incorrect or not right)
- words: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
the-eyes-are-containers-for-the-emotions,She couldn't get the fear out of her eyes.,"['get', 'out']","- She: NO (pronoun, basic meaning is the same)
- couldn't: NO (contraction of ""could not,"" basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving something)
- the: NO (definite article, basic meaning is the same)
- fear: NO (noun, basic meaning is the same)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- her: NO (possessive pronoun, basic meaning is the same)
- eyes: NO (noun, basic meaning is the same)",0,0,0,,
states-as-containers,He entered a state of euphoria.,['entered'],"- He: NO (pronoun, basic meaning is the same)
- entered: YES (verb, more basic meaning refers to physically going into a place)
- a: NO (article, basic meaning is the same)
- state: YES (noun, more basic meaning refers to a political entity or condition of being)
- of: NO (preposition, basic meaning is the same)
- euphoria: NO (noun, basic meaning is the same)",1,1,1,1.0,0.0
emergence,His mother nearly went crazy from loneliness.,['from'],"Sure, let's analyze the text ""His mother nearly went crazy from loneliness.""

- His: NO (possessive pronoun, basic meaning is the same)
- mother: NO (noun, basic meaning is the same)
- nearly: NO (adverb, basic meaning is the same)
- went: NO (verb, basic meaning is the same)
- crazy: YES (adjective, more basic meaning refers to being mentally deranged or insane)
- from: NO (preposition, basic meaning is the same)
- loneliness: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
