sentence,metaphorical_subsets,model_output
Put aside some time for ping pong.,['Put aside'],"- Put: NO (verb, basic meaning is the same)
- aside: NO (adverb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- for: NO (preposition, basic meaning is the same)
- ping pong: NO (noun, basic meaning is the same)"
Is that worth your while?,['worth your while'],"- Is: NO (verb, basic meaning is the same)
- that: NO (pronoun, basic meaning is the same)
- worth: YES (adjective, more basic meaning refers to having monetary value)
- your: NO (possessive pronoun, basic meaning is the same)
- while: YES (noun, more basic meaning refers to a period of time)"
Do you have much time left?,"['have', 'left']","- Do: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- much: NO (adverb, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- left: YES (adjective, more basic meaning refers to the direction opposite to right)"
He's living on borrowed time.,['borrowed'],"- He's: NO (pronoun, basic meaning is the same)
- living: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- borrowed: YES (adjective, more basic meaning refers to something that is obtained temporarily)
- time: NO (noun, basic meaning is the same)"
You don't use your time profitably.,"['use', 'profitably']","- You: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of do not, basic meaning is the same)
- use: NO (verb, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- profitably: YES (adverb, more basic meaning refers to making a profit)"
I lost a lot of time when I got sick.,['lost'],"- I: NO
- lost: YES (verb, more basic meaning refers to physically misplacing something)
- a: NO
- lot: NO
- of: NO
- time: NO
- when: NO
- I: NO
- got: YES (verb, more basic meaning refers to physically obtaining something)
- sick: NO"
It's hard to get that idea across to him.,"['get', 'across to']","- It's: NO (contraction, basic meaning is the same)
- hard: NO (adjective, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- across: YES (adverb, more basic meaning refers to moving from one side to another)
- to: NO (preposition, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)"
I gave you that idea.,['gave'],"- I: NO (pronoun, basic meaning is the same)
- gave: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)"
Your reasons came through to us.,['came through'],"- Your: NO (possessive pronoun, basic meaning is the same)
- reasons: NO (noun, basic meaning is the same)
- came through: YES (phrasal verb, more basic meaning refers to physically passing through something) 
- to: NO (preposition, basic meaning is the same)
- us: NO (pronoun, basic meaning is the same)"
It's difficult to put my ideas into words.,"['put', 'into']","- It's: NO (contraction, basic meaning is the same)
- difficult: NO (adjective, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- put: YES (verb, more basic meaning refers to placing something in a specific location)
- my: NO (possessive pronoun, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- words: YES (noun, more basic meaning refers to individual units of language)"
"When you have a good idea, try to capture it immediately in words.","['have', 'capture', 'in']","- When: NO (conjunction, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- try: YES (verb, more basic meaning refers to attempting)
- to: NO (preposition, basic meaning is the same)
- capture: YES (verb, more basic meaning refers to seizing or catching)
- it: NO (pronoun, basic meaning is the same)
- immediately: NO (adverb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- words: YES (noun, more basic meaning refers to individual units of language)"
Try to pack more thought into the wrong words.,"['pack', 'into']","- Try: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- pack: YES (verb, more basic meaning refers to putting things into a container)
- more: NO (adverb, basic meaning is the same)
- thought: YES (noun, more basic meaning refers to the process of thinking)
- into: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- wrong: YES (adjective, more basic meaning refers to something that is not correct)
- words: YES (noun, more basic meaning refers to individual units of language)"
His words carry little meaning.,['carry'],"- His: NO (possessive pronoun, basic meaning is the same)
- words: NO (noun, basic meaning is the same)
- carry: YES (verb, more basic meaning refers to physically transporting something)
- little: NO (adjective, basic meaning is the same)
- meaning: NO (noun, basic meaning is the same)"
The introduction has a great deal of thought content.,"['has', 'content']","- The: NO (article, basic meaning is the same)
- introduction: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- great: NO (adjective, basic meaning is the same)
- deal: YES (noun, more basic meaning refers to a business transaction)
- of: NO (preposition, basic meaning is the same)
- thought: YES (noun, more basic meaning refers to the act of thinking)
- content: YES (noun, more basic meaning refers to the substance of something)"
Your words seem hollow.,['hollow'],"- Your: NO (possessive determiner, basic meaning is the same)
- words: NO (noun, basic meaning is the same)
- seem: NO (verb, basic meaning is the same)
- hollow: YES (adjective, more basic meaning refers to having an empty space inside)"
The sentence is without meaning.,['without'],"- The: NO (definite article, basic meaning is the same)
- sentence: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- without: YES (preposition, more basic meaning refers to lack or absence)
- meaning: NO (noun, basic meaning is the same)"
The idea is buried in terribly dense paragraphs.,['buried in'],"- The: NO (definite article, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- buried: YES (verb, more basic meaning refers to placing something in the ground)
- in: NO (preposition, basic meaning is the same)
- terribly: NO (adverb, basic meaning is the same)
- dense: YES (adjective, more basic meaning refers to closely compacted or crowded)
- paragraphs: NO (noun, basic meaning is the same)"
I'm feeling up.,['up'],"- I'm: NO (contraction of ""I am,"" basic meaning is the same)
- feeling: YES (verb, more basic meaning refers to physical sensation or touch)
- up: YES (adverb, more basic meaning refers to a higher position or upward direction)"
That boosted my spirits.,['boosted'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- boosted: YES (verb, more basic meaning refers to lifting or raising something physically)
- my: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to alcoholic beverages)"
My spirits rose.,['rose'],"- My: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to a distilled alcoholic beverage)
- rose: NO (verb, basic meaning is the same)"
You're in high spirits.,['high'],"- You're: NO (contraction of ""you are,"" basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to physical height or elevation)
- spirits: YES (noun, more basic meaning refers to a distilled alcoholic beverage)"
Thinking about her always gives me a lift.,['lift'],"- Thinking: NO (verb, basic meaning is the same)
- about: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)
- always: NO (adverb, basic meaning is the same)
- gives: NO (verb, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- a lift: YES (noun phrase, more basic meaning refers to physically raising something)"
I'm feeling down.,['down'],"- I'm: NO (contraction of ""I am,"" basic meaning is the same)
- feeling: YES (verb, more basic meaning refers to physical sensation or touch)
- down: YES (adverb, more basic meaning refers to a lower physical position)"
I'm depressed.,['depressed'],"- I'm: NO (contraction of ""I am,"" basic meaning is the same)
- depressed: NO (adjective, basic meaning is the same)"
He's really low these days.,['low'],"- He's: NO (pronoun, basic meaning is the same)
- really: NO (adverb, basic meaning is the same)
- low: NO (adjective, basic meaning is the same)"
I fell into a depression.,['fell'],"- I: NO
- fell: NO
- into: NO
- a: NO
- depression: YES (noun, more basic meaning refers to a sunken place or hollow)"
My spirits sank.,['sank'],"- My: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to a distilled alcoholic beverage)
- sank: NO (verb, basic meaning is the same)"
Wake up.,['up'],"- Wake: YES (verb, more basic meaning refers to coming out of sleep)
- up: NO (adverb, basic meaning is the same)"
He fell asleep.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: NO (verb, basic meaning is the same)
- asleep: NO (adjective, basic meaning is the same)"
He dropped off to sleep.,['dropped'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to letting something fall)
- off: YES (adverb, more basic meaning refers to separation or removal)
- to: NO (preposition, basic meaning is the same)
- sleep: NO (noun, basic meaning is the same)"
He's under hypnosis.,['under'],"- He's: NO (pronoun, basic meaning is the same)
- under: NO (preposition, basic meaning is the same)
- hypnosis: NO (noun, basic meaning is the same)"
He sank into a coma.,['sank'],"- He: NO (pronoun, basic meaning is the same)
- sank: YES (verb, more basic meaning refers to descending below the surface of water)
- into: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- coma: NO (noun, basic meaning is the same)"
He's at the peak of health.,['peak'],"- He's: NO (pronoun, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- peak: YES (noun, more basic meaning refers to the pointed top of a mountain)
- of: NO (preposition, basic meaning is the same)
- health: NO (noun, basic meaning is the same)"
Lazarus rose from the dead.,['rose'],"- Lazarus: NO (proper noun, basic meaning is the same)
- rose: NO (verb, basic meaning is the same)
- from: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- dead: YES (adjective, more basic meaning refers to not being alive)"
He's in top shape.,['top'],"- He's: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- top: YES (adjective, more basic meaning refers to the highest part or point)
- shape: YES (noun, more basic meaning refers to the form or outline of an object)"
"As to his health, he's way up there.",['up'],"- As: NO (conjunction, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- health: NO (noun, basic meaning is the same)
- he's: NO (contraction, basic meaning is the same)
- way: YES (adverb, more basic meaning refers to a path or route)
- up: YES (adverb, more basic meaning refers to a direction) 
- there: NO (adverb, basic meaning is the same)"
He fell ill.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: NO (verb, basic meaning is the same)
- ill: NO (adjective, basic meaning is the same)"
He came down with the flu.,['down'],"- He: NO (pronoun, basic meaning is the same)
- came down: YES (phrasal verb, more basic meaning refers to descending)
- with: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- flu: NO (noun, basic meaning is the same)"
His health is declining.,['declining'],"- His: NO (possessive pronoun, basic meaning is the same)
- health: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- declining: YES (verb, more basic meaning refers to moving downward physically)"
He dropped dead.,['dropped'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to letting something fall)
- dead: NO (adjective, basic meaning is the same)"
I have control over her.,['over'],"- I: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- control: YES (noun, more basic meaning refers to the power to influence or direct something)
- over: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)"
I am on top of the situation.,['on top'],"- I: NO (pronoun, basic meaning is the same)
- am: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- top: YES (noun, more basic meaning refers to the upper part of something)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- situation: NO (noun, basic meaning is the same)"
He's in a superior position.,['superior'],"- He's: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- superior: YES (adjective, more basic meaning refers to being higher in rank or status)
- position: NO (noun, basic meaning is the same)"
He's at the height of his power.,['height'],"- He's: NO (pronoun, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- height: YES (noun, more basic meaning refers to physical distance from the ground)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- power: NO (noun, basic meaning is the same)"
He's in the high command.,['high'],"- He's: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to physical height)
- command: YES (noun, more basic meaning refers to an authoritative order)"
He's in the upper echelon.,['upper'],"- He's: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- upper: YES (adjective, more basic meaning refers to higher physical location)
- echelon: YES (noun, more basic meaning refers to a level or rank in an organization)"
His power rose.,['rose'],"- His: NO (possessive pronoun, basic meaning is the same)
- power: NO (noun, basic meaning is the same)
- rose: YES (verb, more basic meaning refers to moving upward)"
He ranks above me in strength.,['above'],"- He: NO (pronoun, basic meaning is the same)
- ranks: YES (verb, more basic meaning refers to arranging in order)
- above: YES (preposition, more basic meaning refers to being at a higher level)
- me: NO (pronoun, basic meaning is the same)
- strength: NO (noun, basic meaning is the same)"
He is under my control.,['under'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- under: YES (preposition, more basic meaning refers to physical location beneath something)
- my: NO (possessive pronoun, basic meaning is the same)
- control: NO (noun, basic meaning is the same)"
He fell from power.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping to a lower position)
- from: NO (preposition, basic meaning is the same)
- power: NO (noun, basic meaning is the same)"
His power is on the decline.,['decline'],"- His: NO (possessive pronoun, basic meaning is the same)
- power: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- the decline: YES (noun phrase, more basic meaning refers to a downward movement or slope)"
He is my social inferior.,['inferior'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- social: NO (adjective, basic meaning is the same)
- inferior: YES (adjective, more basic meaning refers to lower in rank or status)"
The number of books printed each year keeps going up.,['up'],"- The: NO (definite article, basic meaning is the same)
- number: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- books: NO (noun, basic meaning is the same)
- printed: YES (verb, more basic meaning refers to producing text on paper)
- each: NO (determiner, basic meaning is the same)
- year: NO (noun, basic meaning is the same)
- keeps: NO (verb, basic meaning is the same)
- going: NO (verb, basic meaning is the same)
- up: NO (adverb, basic meaning is the same)"
His draft number is high.,['high'],"- His: NO (possessive pronoun, basic meaning is the same)
- draft: YES (noun, more basic meaning refers to a current of air)
- number: YES (noun, more basic meaning refers to a quantity or a numeral)
- is: NO (verb, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to a great distance from the ground)"
My income rose last year.,['rose'],"- My: NO (possessive pronoun, basic meaning is the same)
- income: NO (noun, basic meaning is the same)
- rose: YES (verb, more basic meaning refers to moving upward physically) 
- last: NO (adjective, basic meaning is the same)
- year: NO (noun, basic meaning is the same)"
The amount of artistic activity in this state has gone down in the past year.,['down'],"- The: NO (definite article, basic meaning is the same)
- amount: YES (noun, more basic meaning refers to quantity or volume)
- of: NO (preposition, basic meaning is the same)
- artistic: NO (adjective, basic meaning is the same)
- activity: YES (noun, more basic meaning refers to physical or mental exertion)
- in: NO (preposition, basic meaning is the same)
- this: NO (demonstrative pronoun, basic meaning is the same)
- state: YES (noun, more basic meaning refers to a physical condition or state of being)
- has: NO (verb, basic meaning is the same)
- gone: YES (verb, more basic meaning refers to movement or travel)
- down: YES (adverb, more basic meaning refers to a lower position or level)
- past: YES (adjective, more basic meaning refers to a time before the present)
- year: YES (noun, more basic meaning refers to a period of 365 days)"
The number of errors he made is incredibly low.,['low'],"- The: NO (definite article, basic meaning is the same)
- number: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- errors: NO (noun, basic meaning is the same)
- he: NO (pronoun, basic meaning is the same)
- made: YES (verb, more basic meaning refers to creating or producing)
- is: NO (verb, basic meaning is the same)
- incredibly: NO (adverb, basic meaning is the same)
- low: YES (adjective, more basic meaning refers to something being close to the ground)"
His income fell last year.,['fell'],"- His: NO (possessive pronoun, basic meaning is the same)
- income: NO (noun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to descending or dropping) 
- last: NO (adjective, basic meaning is the same)
- year: NO (noun, basic meaning is the same)"
He is underage.,['under'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- underage: NO (adjective, basic meaning is the same)"
"If you're too hot, turn the heat down.",['down'],"- If: NO (conjunction, basic meaning is the same)
- you're: NO (contraction of ""you are,"" basic meaning is the same)
- too: NO (adverb, basic meaning is the same)
- hot: NO (adjective, basic meaning is the same)
- turn: YES (verb, more basic meaning refers to physically changing the direction or position of something)
- the: NO (definite article, basic meaning is the same)
- heat: YES (noun, more basic meaning refers to the quality of being hot)
- down: NO (adverb/preposition, basic meaning is the same)"
All upcoming events are listed in the paper.,['up'],"- All: NO (determiner, basic meaning is the same)
- upcoming: YES (adjective, more basic meaning refers to something that is approaching or coming nearer)
- events: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- listed: YES (verb, more basic meaning refers to making an inventory or a record) 
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- paper: NO (noun, basic meaning is the same)"
What's coming up this week?,['up'],"- What's: NO (contraction of ""what is,"" basic meaning is the same)
- coming up: YES (phrasal verb, more basic meaning refers to physically moving upward)
- this: NO (demonstrative pronoun, basic meaning is the same)
- week: NO (noun, basic meaning is the same)"
What's up?,['up'],"- What's: NO (contraction of ""what is,"" basic meaning is the same)
- up: YES (adverb, more basic meaning refers to a direction or location)"
He has a lofty position.,['lofty'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lofty: YES (adjective, more basic meaning refers to physical height or elevation)
- position: NO (noun, basic meaning is the same)"
She'll rise to the top.,"['rise', 'top']","- She'll: NO (contraction of she will, basic meaning is the same)
- rise: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- top: NO (noun, basic meaning is the same)"
He's at the peak of his career.,['peak'],"- He's: NO (pronoun, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- peak: YES (noun, more basic meaning refers to the pointed top of a mountain)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- career: NO (noun, basic meaning is the same)"
He has a little upward mobility.,['upward'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- little: YES (adjective, more basic meaning refers to size or quantity)
- upward: YES (adjective, more basic meaning refers to direction)
- mobility: NO (noun, basic meaning is the same)"
He's at the bottom of the social hierarchy.,['bottom'],"- He's: NO (pronoun, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- bottom: YES (noun, more basic meaning refers to the lowest part of something)
- of: NO (preposition, basic meaning is the same)
- social: NO (adjective, basic meaning is the same)
- hierarchy: YES (noun, more basic meaning refers to a system of ranking or organizing things)"
She fell in status.,['fell'],"- She: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping to a lower position)
- in: NO (preposition, basic meaning is the same)
- status: NO (noun, basic meaning is the same)"
Things are at an all-time low.,['low'],"- Things: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- all-time: YES (adjective, more basic meaning refers to a period of time)
- low: YES (adjective, more basic meaning refers to a position or level)"
He does high-quality work.,['high'],"- He: NO (pronoun, basic meaning is the same)
- does: NO (verb, basic meaning is the same)
- high-quality: NO (adjective, basic meaning is the same)
- work: NO (noun, basic meaning is the same)"
He is high-minded.,['high'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- high-minded: YES (adjective, more basic meaning refers to having noble or elevated principles)"
She has high standards.,['high'],"- She: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to physical height)
- standards: NO (noun, basic meaning is the same)"
She is an upstanding citizen.,['upstanding'],"- She: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- upstanding: YES (adjective, more basic meaning refers to standing upright)
- citizen: NO (noun, basic meaning is the same)"
That was a low trick.,['low'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- low: YES (adjective, more basic meaning refers to physical height)
- trick: NO (noun, basic meaning is the same)"
Don't be underhanded.,['underhanded'],"- Don't: NO (verb, basic meaning is the same)
- be: NO (verb, basic meaning is the same)
- underhanded: YES (adjective, more basic meaning refers to being physically positioned below the hand)"
I wouldn't stoop to that.,['stoop'],"- I: NO (pronoun, basic meaning is the same)
- wouldn't: NO (verb, basic meaning is the same)
- stoop: YES (verb, more basic meaning refers to bending down or lowering oneself)
- to: NO (preposition, basic meaning is the same)
- that: NO (pronoun, basic meaning is the same)"
That would be beneath me.,['beneath'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- would: NO (verb, basic meaning is the same)
- be: NO (verb, basic meaning is the same)
- beneath: YES (preposition, more basic meaning refers to physical location under something)
- me: NO (pronoun, basic meaning is the same)"
He fell into the abyss of depravity.,"['fell', 'abyss']","- He: NO (pronoun, basic meaning is the same)
- fell: NO (verb, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- abyss: YES (noun, more basic meaning refers to a deep or chasm)
- of: NO (preposition, basic meaning is the same)
- depravity: YES (noun, more basic meaning refers to moral corruption)"
That was a low-down thing to do.,['low-down'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- low-down: YES (adjective, more basic meaning refers to something physically low or downward)
- thing: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- do: NO (verb, basic meaning is the same)"
