sentence,metaphorical_subsets,model_output
I don't have enough time to spare for that.,"['have enough', 'spare']","- I: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of do not, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- enough: NO (adjective, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- spare: YES (verb, more basic meaning refers to giving extra resources or time)
- for: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)"
You're running out of time.,['running out'],"- You're: NO (contraction of ""you are"", basic meaning is the same)
- running: YES (verb, more basic meaning refers to physically moving quickly)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- time: NO (noun, basic meaning is the same)"
You need to budget your time.,['budget'],"- You: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- budget: YES (verb, more basic meaning refers to managing finances)
- your: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the same)"
Put aside some time for ping pong.,['Put aside'],"- Put: NO (verb, basic meaning is to place something somewhere)
- aside: NO (adverb, basic meaning is to one side)
- some: NO (determiner, basic meaning is an unspecified amount or number)
- time: NO (noun, basic meaning is the indefinite continued progress of existence and events)
- for: NO (preposition, basic meaning is indicating the use of something)
- ping: YES (noun, basic meaning is a sharp sound)
- pong: YES (noun, basic meaning is a similar sharp sound)"
Is that worth your while?,['worth your while'],"- Is: NO (verb, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- worth: YES (noun/verb, more basic meaning refers to the value of something, usually monetary)
- your: NO (possessive pronoun, basic meaning is the same)
- while: YES (noun, more basic meaning refers to a period of time)"
Do you have much time left?,"['have', 'left']","- Do: NO (auxiliary verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- much: NO (adjective, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- left: YES (verb, more basic meaning refers to the physical action of leaving or departing)"
He's living on borrowed time.,['borrowed'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- living: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- borrowed: YES (verb, more basic meaning refers to taking something temporarily from someone)
- time: NO (noun, basic meaning is the same)"
You don't use your time profitably.,"['use', 'profitably']","- You: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of do not, basic meaning is the same)
- use: NO (verb, basic meaning is to employ for some purpose)
- your: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the indefinite continued progress of existence and events)
- profitably: YES (adverb, more basic meaning of ""profit"" refers to financial gain)"
I lost a lot of time when I got sick.,['lost'],"- I: NO (pronoun, basic meaning is the same)
- lost: YES (verb, more basic meaning refers to physically misplacing something)
- a: NO (indefinite article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a parcel of land)
- of: NO (preposition, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- when: NO (conjunction, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- got: NO (verb, basic meaning is the same)
- sick: NO (adjective, basic meaning is the same)"
It's hard to get that idea across to him.,"['get', 'across to']","- It's: NO (contraction of ""it is"", basic meaning is the same)
- hard: NO (adjective, basic meaning refers to the physical property of solidity or firmness)
- to: NO (preposition, basic meaning is the same)
- get: NO (verb, basic meaning is to come into possession of)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- across: YES (preposition, more basic meaning refers to physically crossing from one side to another)
- to: NO (preposition, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)"
I gave you that idea.,['gave'],"- I: NO (pronoun, basic meaning is the same)
- gave: NO (verb, basic meaning is to physically hand over something)
- you: NO (pronoun, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: YES (noun, more basic meaning refers to a visual image or a form seen in the mind)"
Your reasons came through to us.,['came through'],"- Your: NO (possessive pronoun, basic meaning is the same)
- reasons: NO (noun, basic meaning is the same)
- came: NO (verb, basic meaning is the same)
- through: YES (preposition, more basic meaning refers to going from one side to another)
- to: NO (preposition, basic meaning is the same)
- us: NO (pronoun, basic meaning is the same)"
It's difficult to put my ideas into words.,"['put', 'into']","- It's: NO (contraction of ""it is"", basic meaning is the same)
- difficult: NO (adjective, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- put: YES (verb, more basic meaning refers to placing something physically)
- my: NO (possessive pronoun, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- words: NO (noun, basic meaning is the same)"
"When you have a good idea, try to capture it immediately in words.","['have', 'capture', 'in']","""When you have a good idea, try to capture it immediately in words.""

- When: NO (conjunction, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- try: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- capture: YES (verb, more basic meaning refers to physically seizing something)
- it: NO (pronoun, basic meaning is the same)
- immediately: NO (adverb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- words: NO (noun, basic meaning is the same)"
Try to pack more thought into the wrong words.,"['pack', 'into']","- Try: NO (verb, basic meaning is to attempt, which is the same here)
- to: NO (preposition, basic meaning is the same)
- pack: YES (verb, more basic meaning refers to physically putting things into a container)
- more: NO (adjective, basic meaning is the same)
- thought: NO (noun, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- wrong: NO (adjective, basic meaning is the same)
- words: NO (noun, basic meaning is the same)"
His words carry little meaning.,['carry'],"- His: NO (possessive pronoun, basic meaning is the same)
- words: NO (noun, basic meaning is the same)
- carry: YES (verb, more basic meaning refers to physically transporting something)
- little: NO (adjective, basic meaning is the same)
- meaning: NO (noun, basic meaning is the same)"
The introduction has a great deal of thought content.,"['has', 'content']","- The: NO (definite article, basic meaning is the same)
- introduction: NO (noun, basic meaning refers to the act of introducing something or someone, which is similar in this context)
- has: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- great: NO (adjective, basic meaning refers to large size or intensity, which is similar in this context)
- deal: YES (noun, more basic meaning refers to a transaction or an agreement)
- of: NO (preposition, basic meaning is the same)
- thought: NO (noun, basic meaning refers to the process of thinking, which is similar in this context)
- content: NO (noun, basic meaning refers to what is contained within something, which is similar in this context)"
Your words seem hollow.,['hollow'],"- Your: NO (possessive pronoun, basic meaning is the same)
- words: NO (noun, basic meaning is the same)
- seem: NO (verb, basic meaning is the same)
- hollow: YES (adjective, more basic meaning refers to a physical space being empty or void)"
The sentence is without meaning.,['without'],"- The: NO (definite article, basic meaning is the same)
- sentence: NO (noun, basic meaning refers to a group of words that express a complete thought, which is the same in this context)
- is: NO (verb, basic meaning is the same)
- without: NO (preposition, basic meaning is the same)
- meaning: YES (noun, more basic meaning refers to what is meant by a word, text, concept, or action, but here it refers to having significance or purpose, which is less concrete)"
The idea is buried in terribly dense paragraphs.,['buried in'],"- The: NO (definite article, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- buried: YES (verb, more basic meaning refers to putting something in the ground, typically a dead body)
- in: NO (preposition, basic meaning is the same)
- terribly: NO (adverb, basic meaning is the same)
- dense: NO (adjective, basic meaning is the same)
- paragraphs: NO (noun, basic meaning is the same)"
I'm feeling up.,['up'],"Sure, let's analyze the phrase ""I'm feeling up.""

- I: NO (pronoun, basic meaning is the same)
- 'm: NO (contraction of ""am"", verb, basic meaning is the same)
- feeling: NO (verb, basic meaning refers to experiencing a sensation or emotion)
- up: YES (adverb, more basic meaning refers to a higher position or direction)"
That boosted my spirits.,['boosted'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- boosted: YES (verb, more basic meaning refers to physically pushing something upwards)
- my: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to a type of alcoholic beverage or a supernatural being)"
My spirits rose.,['rose'],"- My: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to supernatural beings or distilled alcoholic beverages)
- rose: YES (verb, more basic meaning refers to the physical action of moving upward)"
You're in high spirits.,['high'],"- You're: NO (contraction of ""you are,"" basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to physical elevation or altitude)
- spirits: YES (noun, more basic meaning refers to a type of alcoholic beverage or a supernatural being)"
Thinking about her always gives me a lift.,['lift'],"- Thinking: NO (verb, basic meaning is the same)
- about: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)
- always: NO (adverb, basic meaning is the same)
- gives: NO (verb, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- lift: YES (noun, more basic meaning refers to physically raising something)"
I'm feeling down.,['down'],"- I: NO (pronoun, basic meaning is the same)
- 'm: NO (contraction of ""am"", basic meaning is the same)
- feeling: NO (verb, basic meaning refers to experiencing a sensation or emotion)
- down: YES (adverb, more basic meaning refers to a direction, i.e., towards the ground)"
I'm depressed.,['depressed'],"- I: NO (pronoun, basic meaning is the same)
- 'm: NO (contraction of ""am"", verb, basic meaning is the same)
- depressed: YES (adjective, more basic meaning refers to physically pressing something down)"
He's really low these days.,['low'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- really: NO (adverb, basic meaning is the same)
- low: YES (adjective, more basic meaning refers to physical height or depth)
- these: NO (demonstrative pronoun, basic meaning is the same)
- days: NO (noun, basic meaning is the same)"
I fell into a depression.,['fell'],"- I: NO (pronoun, basic meaning is the same)
- fell: NO (verb, basic meaning refers to physically dropping or coming down)
- into: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- depression: YES (noun, more basic meaning refers to a physical indentation or hollow area)"
My spirits sank.,['sank'],"- My: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to a type of alcoholic beverage or a supernatural being)
- sank: YES (verb, more basic meaning refers to going down in water)"
Wake up.,['up'],"- Wake: NO (verb, basic meaning is to rouse from sleep)
- up: NO (adverb, basic meaning is in or toward a higher position)"
He fell asleep.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping or coming down)
- asleep: NO (adjective, basic meaning is the same)"
He dropped off to sleep.,['dropped'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to physically letting something fall)
- off: NO (preposition, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- sleep: NO (noun, basic meaning is the same)"
He's under hypnosis.,['under'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- under: YES (preposition, more basic meaning refers to physically being beneath something)
- hypnosis: NO (noun, basic meaning is the same)"
He sank into a coma.,['sank'],"- He: NO (pronoun, basic meaning is the same)
- sank: YES (verb, more basic meaning refers to going down in water)
- into: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- coma: NO (noun, basic meaning is the same)"
He's at the peak of health.,['peak'],"""He's at the peak of health.""

- He's: NO (contraction of ""he is"", basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- peak: YES (noun, more basic meaning refers to the top of a mountain)
- of: NO (preposition, basic meaning is the same)
- health: NO (noun, basic meaning is the same)"
Lazarus rose from the dead.,['rose'],"- Lazarus: NO (proper noun, basic meaning is the same)
- rose: YES (verb, more basic meaning refers to physically rising or getting up)
- from: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- dead: NO (noun, basic meaning is the same)"
He's in top shape.,['top'],"- He's: NO (contraction of he is, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- top: YES (noun, more basic meaning refers to the highest point or part of something)
- shape: YES (noun, more basic meaning refers to the external form or appearance of someone or something)"
"As to his health, he's way up there.",['up'],"- As: NO (conjunction, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- health: NO (noun, basic meaning is the same)
- he's: NO (contraction of he is, basic meaning is the same)
- way: YES (noun, more basic meaning refers to a path or road)
- up: NO (adverb, basic meaning is the same)
- there: NO (adverb, basic meaning is the same)"
He fell ill.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping or coming down)
- ill: NO (adjective, basic meaning is the same)"
He came down with the flu.,['down'],"- He: NO (pronoun, basic meaning is the same)
- came: NO (verb, basic meaning is to move towards something)
- down: YES (adverb, more basic meaning refers to a direction, specifically moving from a higher place to a lower one)
- with: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- flu: NO (noun, basic meaning is the same)"
His health is declining.,['declining'],"- His: NO (possessive pronoun, basic meaning is the same)
- health: NO (noun, basic meaning refers to the state of being free from illness or injury, which is the same here)
- is: NO (verb, basic meaning as a form of ""to be"" is the same)
- declining: YES (verb, more basic meaning refers to physically going downward)"
He dropped dead.,['dropped'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to physically letting something fall)
- dead: NO (adjective, basic meaning is the same)"
I have control over her.,['over'],"- I: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- control: YES (noun, more basic meaning refers to operating or manipulating equipment or machinery)
- over: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)"
I am on top of the situation.,['on top'],"- I: NO (pronoun, basic meaning is the same)
- am: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- top: YES (noun, more basic meaning refers to the highest point or uppermost surface of something)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- situation: NO (noun, basic meaning is the same)"
He's in a superior position.,['superior'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- superior: YES (adjective, more basic meaning refers to higher in rank or quality)
- position: NO (noun, basic meaning is the same)"
He's at the height of his power.,['height'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- height: YES (noun, more basic meaning refers to physical elevation or stature)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- power: NO (noun, basic meaning refers to ability or capacity, which is similar in this context)"
He's in the high command.,['high'],"- He's: NO (contraction of he is, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to physical elevation or altitude)
- command: YES (noun, more basic meaning refers to the act of commanding, typically in a more direct or military context)"
He's in the upper echelon.,['upper'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- upper: NO (adjective, basic meaning is the same)
- echelon: YES (noun, more basic meaning refers to a formation in which units follow one another but are offset sufficiently to allow each unit a line of fire ahead)"
His power rose.,['rose'],"- His: NO (possessive pronoun, basic meaning is the same)
- power: NO (noun, basic meaning refers to ability or capacity, which is similar in this context)
- rose: YES (verb, more basic meaning refers to physically moving upward)"
He ranks above me in strength.,['above'],"- He: NO (pronoun, basic meaning is the same)
- ranks: YES (verb, more basic meaning refers to arranging items in a sequence or order)
- above: NO (preposition, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- strength: NO (noun, basic meaning is the same)"
He is under my control.,['under'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- under: YES (preposition, more basic meaning refers to physically being beneath something)
- my: NO (possessive pronoun, basic meaning is the same)
- control: YES (noun, more basic meaning refers to operating or managing a machine or device)"
He fell from power.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping or collapsing)
- from: NO (preposition, basic meaning is the same)
- power: YES (noun, more basic meaning refers to physical strength or energy)"
His power is on the decline.,['decline'],"- His: NO (possessive pronoun, basic meaning is the same)
- power: NO (noun, basic meaning refers to ability or capacity, which is applicable here)
- is: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- decline: YES (noun, more basic meaning refers to a physical slope or downward movement)"
He is my social inferior.,['inferior'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- social: NO (adjective, basic meaning is the same)
- inferior: YES (adjective, more basic meaning refers to lower in physical position or quality)"
The number of books printed each year keeps going up.,['up'],"- The: NO (definite article, basic meaning is the same)
- number: NO (noun, basic meaning refers to a mathematical concept or quantity)
- of: NO (preposition, basic meaning is the same)
- books: NO (noun, basic meaning is the same)
- printed: NO (verb, basic meaning refers to producing text or images on paper)
- each: NO (determiner, basic meaning is the same)
- year: NO (noun, basic meaning is the same)
- keeps: YES (verb, more basic meaning refers to holding or retaining something physically)
- going: YES (verb, more basic meaning refers to physically moving)
- up: NO (adverb, basic meaning refers to a direction)"
His draft number is high.,['high'],"- His: NO (possessive pronoun, basic meaning is the same)
- draft: YES (noun, more basic meaning refers to a preliminary version of a piece of writing or a drawing of cool air)
- number: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- high: NO (adjective, basic meaning refers to a great vertical extent or elevation)"
My income rose last year.,['rose'],"- My: NO (possessive pronoun, basic meaning is the same)
- income: NO (noun, basic meaning is the same)
- rose: YES (verb, more basic meaning refers to physically rising up)
- last: NO (adjective, basic meaning is the same)
- year: NO (noun, basic meaning is the same)"
The amount of artistic activity in this state has gone down in the past year.,['down'],"- The: NO (definite article, basic meaning is the same)
- amount: NO (noun, basic meaning refers to a quantity or volume, which is similar in this context)
- of: NO (preposition, basic meaning is the same)
- artistic: NO (adjective, basic meaning is the same)
- activity: NO (noun, basic meaning refers to a state of being active, which is similar in this context)
- in: NO (preposition, basic meaning is the same)
- this: NO (demonstrative pronoun, basic meaning is the same)
- state: YES (noun, more basic meaning refers to a condition or manner of being, used here to mean a political entity)
- has: NO (auxiliary verb, basic meaning is the same)
- gone: YES (verb, more basic meaning refers to physically moving from one place to another)
- down: NO (adverb, basic meaning refers to a direction, which is similar in this context)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- past: NO (noun, basic meaning refers to the time before the present, which is similar in this context)
- year: NO (noun, basic meaning refers to a period of time, which is similar in this context)"
The number of errors he made is incredibly low.,['low'],"- The: NO (definite article, basic meaning is the same)
- number: NO (noun, basic meaning refers to a mathematical concept or quantity, which is the same here)
- of: NO (preposition, basic meaning is the same)
- errors: NO (noun, basic meaning refers to mistakes, which is the same here)
- he: NO (pronoun, basic meaning is the same)
- made: NO (verb, basic meaning refers to creating or constructing, which is related but not more basic in this context)
- is: NO (verb, basic meaning is the same)
- incredibly: YES (adverb, more basic meaning would be ""not credible"" or ""unbelievable,"" here it is used to intensify)
- low: NO (adjective, basic meaning refers to a small distance from the ground or bottom, which is similar to its use here as small in quantity or degree)"
His income fell last year.,['fell'],"- His: NO (possessive pronoun, basic meaning is the same)
- income: NO (noun, basic meaning refers to money received, which is the same in this context)
- fell: YES (verb, more basic meaning refers to physically dropping or coming down)
- last: NO (adjective, basic meaning refers to final in a series, which is similar in this context)
- year: NO (noun, basic meaning refers to a period of 365 days, which is the same in this context)"
He is underage.,['under'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- underage: YES (adjective, more basic meaning of ""under"" is physically beneath something)"
"If you're too hot, turn the heat down.",['down'],"- If: NO (conjunction, basic meaning is the same)
- you're: NO (contraction of ""you are"", basic meaning is the same)
- too: NO (adverb, basic meaning is the same)
- hot: NO (adjective, basic meaning refers to high temperature)
- turn: YES (verb, more basic meaning refers to physically rotating or changing direction)
- the: NO (definite article, basic meaning is the same)
- heat: NO (noun, basic meaning refers to high temperature)
- down: NO (adverb, basic meaning refers to a lower position or direction)"
All upcoming events are listed in the paper.,['up'],"""All upcoming events are listed in the paper.""

- All: NO (determiner, basic meaning is the same)
- upcoming: YES (adjective, more basic meaning refers to physically coming up or approaching)
- events: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- listed: NO (verb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- paper: YES (noun, more basic meaning refers to the material made from cellulose pulp)"
What's coming up this week?,['up'],"- What's: NO (contraction of ""what is"", basic meaning is the same)
- coming: YES (verb, more basic meaning refers to physically moving towards something)
- up: YES (adverb, more basic meaning refers to a direction, upwards)
- this: NO (demonstrative pronoun, basic meaning is the same)
- week: NO (noun, basic meaning is the same)"
What's up?,['up'],"""What's up?""

- What's: NO (contraction of ""what is"", basic meaning is the same)
- up: YES (adverb, more basic meaning refers to a higher position or direction)"
He has a lofty position.,['lofty'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- lofty: YES (adjective, more basic meaning refers to physical height or altitude)
- position: NO (noun, basic meaning is the same)"
She'll rise to the top.,"['rise', 'top']","- She'll: NO (contraction of ""she will,"" basic meaning is the same)
- rise: YES (verb, more basic meaning refers to physically moving upwards)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- top: YES (noun, more basic meaning refers to the highest physical part of something)"
He's at the peak of his career.,['peak'],"- He's: NO (contraction of he is, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- peak: YES (noun, more basic meaning refers to the top of a mountain)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- career: NO (noun, basic meaning is the same)"
He has a little upward mobility.,['upward'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- little: NO (adjective, basic meaning is the same)
- upward: YES (adjective, more basic meaning refers to a direction, e.g., ""upward climb"")
- mobility: YES (noun, more basic meaning refers to the ability to move physically)"
He's at the bottom of the social hierarchy.,['bottom'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- bottom: YES (noun, more basic meaning refers to the lowest physical part of something)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- social: NO (adjective, basic meaning is the same)
- hierarchy: NO (noun, basic meaning is the same)"
She fell in status.,['fell'],"- She: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping or coming down)
- in: NO (preposition, basic meaning is the same)
- status: NO (noun, basic meaning is the same)"
Things are at an all-time low.,['low'],"- Things: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- all-time: NO (compound adjective, basic meaning is the same)
- low: YES (adjective, more basic meaning refers to physical height or depth)"
